Size-Vector Network.queue (#0 - General-0-20240515-14:04:56-118278),
0.179687450457,1
0.179687450457,0
0.279687450457,1
0.379687450457,0
0.39513656511,1
0.579687450457,0
0.581096986317,1
0.681096986317,2
0.779687450457,1
0.868573833052,2
0.968573833052,3
0.979687450457,2
1.13519035247,3
1.179687450457,2
1.23519035247,3
1.33519035247,4
1.379687450457,3
1.43519035247,4
1.53519035247,5
1.579687450457,4
1.63519035247,5
1.73519035247,6
1.779687450457,5
1.83519035247,6
1.93519035247,7
1.979687450457,6
2.092874560922,7
2.179687450457,6
2.192874560922,7
2.292874560922,8
2.379687450457,7
2.392874560922,8
2.492874560922,9
2.579687450457,8
2.592874560922,9
2.692874560922,10
2.779687450457,9
2.792874560922,10
2.892874560922,11
2.979687450457,10
2.992874560922,11
3.09643731495,12
3.179687450457,11
3.277274241377,12
3.377274241377,13
3.379687450457,12
3.477274241377,13
3.577274241377,14
3.579687450457,13
3.677274241377,14
3.777274241377,15
3.779687450457,14
3.877274241377,15
3.977274241377,16
3.979687450457,15
4.077274241377,16
4.177274241377,17
4.179687450457,16
4.277274241377,17
4.377274241377,18
4.379687450457,17
4.554933220384,18
4.579687450457,17
4.779687450457,16
4.939455407298,17
4.979687450457,16
5.039455407298,17
5.164150280272,18
5.179687450457,17
5.325550487761,18
5.379687450457,17
5.425550487761,18
5.525550487761,19
5.579687450457,18
5.625550487761,19
5.726187367413,20
5.779687450457,19
5.826187367413,20
5.926187367413,21
5.979687450457,20
6.026187367413,21
6.126187367413,22
6.179687450457,21
6.226187367413,22
6.326187367413,23
6.379687450457,22
6.437671367214,23
6.579687450457,22
6.579807835223,23
6.679807835223,24
6.779687450457,23
6.779807835223,24
6.879807835223,25
6.979687450457,24
6.979807835223,25
7.079807835223,26
7.179687450457,25
7.179807835223,26
7.279807835223,27
7.379687450457,26
7.379807835223,27
7.479807835223,28
7.579687450457,27
7.579807835223,28
7.679807835223,29
7.779687450457,28
7.779807835223,29
7.879807835223,30
7.979687450457,29
7.979807835223,30
8.079807835223,31
8.179687450457,30
8.179807835223,31
8.279807835223,32
8.379687450457,31
8.379807835223,32
8.479807835223,33
8.579687450457,32
8.579807835223,33
8.679807835223,34
8.779687450457,33
8.779807835223,34
8.879807835223,35
8.979687450457,34
8.979807835223,35
9.079807835223,36
9.179687450457,35
9.179807835223,36
9.279807835223,37
9.379687450457,36
9.379807835223,37
9.479807835223,38
9.579687450457,37
9.579807835223,38
9.679807835223,39
9.779687450457,38
9.779807835223,39
9.879807835223,40
9.979687450457,39
9.979807835223,40
10.079807835223,41
10.179687450457,40
10.179807835223,41
10.279807835223,42
10.379687450457,41
10.379807835223,42
10.479807835223,43
10.579687450457,42
10.579807835223,43
10.679807835223,44
10.779687450457,43
10.779807835223,44
10.879807835223,45
10.979687450457,44
10.979807835223,45
11.079807835223,46
11.179687450457,45
11.179807835223,46
11.279807835223,47
11.379687450457,46
11.379807835223,47
11.479807835223,48
11.579687450457,47
11.579807835223,48
11.679807835223,49
11.779687450457,48
11.779807835223,49
11.879807835223,50
11.979687450457,49
11.979807835223,50
12.079807835223,51
12.179687450457,50
12.179807835223,51
12.279807835223,52
12.379687450457,51
12.379807835223,52
12.479807835223,53
12.579687450457,52
12.579807835223,53
12.679807835223,54
12.779687450457,53
12.779807835223,54
12.879807835223,55
12.979687450457,54
12.979807835223,55
13.079807835223,56
13.179687450457,55
13.179807835223,56
13.279807835223,57
13.379687450457,56
13.379807835223,57
13.479807835223,58
13.579687450457,57
13.579807835223,58
13.679807835223,59
13.779687450457,58
13.779807835223,59
13.879807835223,60
13.979687450457,59
13.979807835223,60
14.079807835223,61
14.179687450457,60
14.179807835223,61
14.279807835223,62
14.379687450457,61
14.379807835223,62
